station_id,station_name,timestamp_kst,rainfall_mm,temperature_c,wind_direction_deg,wind_speed_mps,humidity_percent,source,source_type,data_status
327,청주금천,2023-07-14 01:00,.5,25.8,149.1,1.7,84,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 02:00,3,24.8,137.3,2.4,93,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 03:00,4,24.4,140.4,3.4,92,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 04:00,11,24,202.8,2.1,96,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 05:00,17,23.9,163.9,1.3,98,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 06:00,11.5,23.9,179.6,.9,98,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 07:00,1.5,24.4,185.5,1.1,96,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 08:00,.5,24.4,177.6,.7,95,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 09:00,1,24.3,159.3,1.5,96,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 10:00,2.5,24.6,176.5,1.5,95,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 11:00,9,24.3,169.6,1.5,97,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 12:00,23,24.1,137.9,1.6,98,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 13:00,9.5,24.2,162.4,1.2,98,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 14:00,9.5,24.3,139.2,1.7,98,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 15:00,14.5,24.4,168.8,1.7,98,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 16:00,3.5,24.9,167.4,1.6,97,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 17:00,.5,25,171.9,1.4,95,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 18:00,2.5,24.8,217.6,.8,97,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 19:00,8.5,23.5,168.9,1.5,96,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 20:00,.5,23.6,128.9,1.1,96,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 21:00,.5,24,157.1,1.1,96,KMA AWS/ASOS,OBSERVATION,VERIFIED
327,청주금천,2023-07-14 22:00,2.5,24.4,130.8,.6,97,KMA AWS/ASOS,OBSERVATION,VERIFIED
