"C행정구역(동읍면)별","행정구역(동읍면)별","C5세별","5세별","시점","총인구수 (명)","남자인구수 (명)","여자인구수 (명)"
'4311325000,"   오송읍",'0,"계",202301,24653.0000,12281.0000,12372.0000
'4311325000,"   오송읍",'0,"계",202302,24678.0000,12310.0000,12368.0000
'4311325000,"   오송읍",'0,"계",202303,24718.0000,12340.0000,12378.0000
'4311325000,"   오송읍",'0,"계",202304,24792.0000,12371.0000,12421.0000
'4311325000,"   오송읍",'0,"계",202305,24882.0000,12415.0000,12467.0000
'4311325000,"   오송읍",'0,"계",202306,25635.0000,12825.0000,12810.0000
'4311325000,"   오송읍",'0,"계",202307,27125.0000,13647.0000,13478.0000
'4311325000,"   오송읍",'0,"계",202308,29278.0000,14812.0000,14466.0000
'4311325000,"   오송읍",'0,"계",202309,30307.0000,15324.0000,14983.0000
'4311325000,"   오송읍",'0,"계",202310,30928.0000,15631.0000,15297.0000
'4311325000,"   오송읍",'0,"계",202311,31306.0000,15823.0000,15483.0000
'4311325000,"   오송읍",'0,"계",202312,31586.0000,15948.0000,15638.0000
'4311325000,"   오송읍",'5,"0 - 4세",202301,834.0000,444.0000,390.0000
'4311325000,"   오송읍",'5,"0 - 4세",202302,829.0000,438.0000,391.0000
'4311325000,"   오송읍",'5,"0 - 4세",202303,832.0000,444.0000,388.0000
'4311325000,"   오송읍",'5,"0 - 4세",202304,829.0000,443.0000,386.0000
'4311325000,"   오송읍",'5,"0 - 4세",202305,829.0000,437.0000,392.0000
'4311325000,"   오송읍",'5,"0 - 4세",202306,856.0000,451.0000,405.0000
'4311325000,"   오송읍",'5,"0 - 4세",202307,954.0000,503.0000,451.0000
'4311325000,"   오송읍",'5,"0 - 4세",202308,1162.0000,616.0000,546.0000
'4311325000,"   오송읍",'5,"0 - 4세",202309,1239.0000,651.0000,588.0000
'4311325000,"   오송읍",'5,"0 - 4세",202310,1276.0000,668.0000,608.0000
'4311325000,"   오송읍",'5,"0 - 4세",202311,1303.0000,678.0000,625.0000
'4311325000,"   오송읍",'5,"0 - 4세",202312,1318.0000,689.0000,629.0000
'4311325000,"   오송읍",'10,"5 - 9세",202301,1159.0000,601.0000,558.0000
'4311325000,"   오송읍",'10,"5 - 9세",202302,1156.0000,599.0000,557.0000
'4311325000,"   오송읍",'10,"5 - 9세",202303,1141.0000,590.0000,551.0000
'4311325000,"   오송읍",'10,"5 - 9세",202304,1141.0000,593.0000,548.0000
'4311325000,"   오송읍",'10,"5 - 9세",202305,1150.0000,597.0000,553.0000
'4311325000,"   오송읍",'10,"5 - 9세",202306,1160.0000,601.0000,559.0000
'4311325000,"   오송읍",'10,"5 - 9세",202307,1193.0000,613.0000,580.0000
'4311325000,"   오송읍",'10,"5 - 9세",202308,1239.0000,640.0000,599.0000
'4311325000,"   오송읍",'10,"5 - 9세",202309,1284.0000,663.0000,621.0000
'4311325000,"   오송읍",'10,"5 - 9세",202310,1290.0000,670.0000,620.0000
'4311325000,"   오송읍",'10,"5 - 9세",202311,1306.0000,682.0000,624.0000
'4311325000,"   오송읍",'10,"5 - 9세",202312,1322.0000,692.0000,630.0000
'4311325000,"   오송읍",'15,"10 - 14세",202301,1326.0000,665.0000,661.0000
'4311325000,"   오송읍",'15,"10 - 14세",202302,1307.0000,661.0000,646.0000
'4311325000,"   오송읍",'15,"10 - 14세",202303,1304.0000,657.0000,647.0000
'4311325000,"   오송읍",'15,"10 - 14세",202304,1317.0000,663.0000,654.0000
'4311325000,"   오송읍",'15,"10 - 14세",202305,1312.0000,663.0000,649.0000
'4311325000,"   오송읍",'15,"10 - 14세",202306,1328.0000,674.0000,654.0000
'4311325000,"   오송읍",'15,"10 - 14세",202307,1351.0000,680.0000,671.0000
'4311325000,"   오송읍",'15,"10 - 14세",202308,1378.0000,689.0000,689.0000
'4311325000,"   오송읍",'15,"10 - 14세",202309,1363.0000,682.0000,681.0000
'4311325000,"   오송읍",'15,"10 - 14세",202310,1364.0000,679.0000,685.0000
'4311325000,"   오송읍",'15,"10 - 14세",202311,1359.0000,678.0000,681.0000
'4311325000,"   오송읍",'15,"10 - 14세",202312,1361.0000,679.0000,682.0000
'4311325000,"   오송읍",'20,"15 - 19세",202301,1118.0000,574.0000,544.0000
'4311325000,"   오송읍",'20,"15 - 19세",202302,1133.0000,577.0000,556.0000
'4311325000,"   오송읍",'20,"15 - 19세",202303,1133.0000,584.0000,549.0000
'4311325000,"   오송읍",'20,"15 - 19세",202304,1126.0000,579.0000,547.0000
'4311325000,"   오송읍",'20,"15 - 19세",202305,1134.0000,580.0000,554.0000
'4311325000,"   오송읍",'20,"15 - 19세",202306,1152.0000,589.0000,563.0000
'4311325000,"   오송읍",'20,"15 - 19세",202307,1180.0000,601.0000,579.0000
'4311325000,"   오송읍",'20,"15 - 19세",202308,1200.0000,610.0000,590.0000
'4311325000,"   오송읍",'20,"15 - 19세",202309,1234.0000,629.0000,605.0000
'4311325000,"   오송읍",'20,"15 - 19세",202310,1252.0000,634.0000,618.0000
'4311325000,"   오송읍",'20,"15 - 19세",202311,1266.0000,643.0000,623.0000
'4311325000,"   오송읍",'20,"15 - 19세",202312,1283.0000,645.0000,638.0000
'4311325000,"   오송읍",'25,"20 - 24세",202301,1172.0000,563.0000,609.0000
'4311325000,"   오송읍",'25,"20 - 24세",202302,1170.0000,569.0000,601.0000
'4311325000,"   오송읍",'25,"20 - 24세",202303,1169.0000,571.0000,598.0000
'4311325000,"   오송읍",'25,"20 - 24세",202304,1176.0000,574.0000,602.0000
'4311325000,"   오송읍",'25,"20 - 24세",202305,1187.0000,575.0000,612.0000
'4311325000,"   오송읍",'25,"20 - 24세",202306,1210.0000,588.0000,622.0000
'4311325000,"   오송읍",'25,"20 - 24세",202307,1238.0000,605.0000,633.0000
'4311325000,"   오송읍",'25,"20 - 24세",202308,1287.0000,635.0000,652.0000
'4311325000,"   오송읍",'25,"20 - 24세",202309,1323.0000,655.0000,668.0000
'4311325000,"   오송읍",'25,"20 - 24세",202310,1346.0000,666.0000,680.0000
'4311325000,"   오송읍",'25,"20 - 24세",202311,1347.0000,678.0000,669.0000
'4311325000,"   오송읍",'25,"20 - 24세",202312,1356.0000,688.0000,668.0000
'4311325000,"   오송읍",'30,"25 - 29세",202301,2293.0000,1096.0000,1197.0000
'4311325000,"   오송읍",'30,"25 - 29세",202302,2278.0000,1101.0000,1177.0000
'4311325000,"   오송읍",'30,"25 - 29세",202303,2279.0000,1093.0000,1186.0000
'4311325000,"   오송읍",'30,"25 - 29세",202304,2285.0000,1095.0000,1190.0000
'4311325000,"   오송읍",'30,"25 - 29세",202305,2298.0000,1107.0000,1191.0000
'4311325000,"   오송읍",'30,"25 - 29세",202306,2419.0000,1167.0000,1252.0000
'4311325000,"   오송읍",'30,"25 - 29세",202307,2613.0000,1279.0000,1334.0000
'4311325000,"   오송읍",'30,"25 - 29세",202308,2855.0000,1389.0000,1466.0000
'4311325000,"   오송읍",'30,"25 - 29세",202309,2978.0000,1448.0000,1530.0000
'4311325000,"   오송읍",'30,"25 - 29세",202310,3064.0000,1482.0000,1582.0000
'4311325000,"   오송읍",'30,"25 - 29세",202311,3099.0000,1481.0000,1618.0000
'4311325000,"   오송읍",'30,"25 - 29세",202312,3118.0000,1479.0000,1639.0000
'4311325000,"   오송읍",'35,"30 - 34세",202301,2156.0000,1122.0000,1034.0000
'4311325000,"   오송읍",'35,"30 - 34세",202302,2160.0000,1130.0000,1030.0000
'4311325000,"   오송읍",'35,"30 - 34세",202303,2203.0000,1162.0000,1041.0000
'4311325000,"   오송읍",'35,"30 - 34세",202304,2231.0000,1176.0000,1055.0000
'4311325000,"   오송읍",'35,"30 - 34세",202305,2244.0000,1183.0000,1061.0000
'4311325000,"   오송읍",'35,"30 - 34세",202306,2410.0000,1282.0000,1128.0000
'4311325000,"   오송읍",'35,"30 - 34세",202307,2819.0000,1541.0000,1278.0000
'4311325000,"   오송읍",'35,"30 - 34세",202308,3387.0000,1870.0000,1517.0000
'4311325000,"   오송읍",'35,"30 - 34세",202309,3636.0000,1989.0000,1647.0000
'4311325000,"   오송읍",'35,"30 - 34세",202310,3770.0000,2065.0000,1705.0000
'4311325000,"   오송읍",'35,"30 - 34세",202311,3855.0000,2117.0000,1738.0000
'4311325000,"   오송읍",'35,"30 - 34세",202312,3912.0000,2143.0000,1769.0000
'4311325000,"   오송읍",'40,"35 - 39세",202301,1884.0000,949.0000,935.0000
'4311325000,"   오송읍",'40,"35 - 39세",202302,1883.0000,939.0000,944.0000
'4311325000,"   오송읍",'40,"35 - 39세",202303,1872.0000,929.0000,943.0000
'4311325000,"   오송읍",'40,"35 - 39세",202304,1878.0000,929.0000,949.0000
'4311325000,"   오송읍",'40,"35 - 39세",202305,1876.0000,932.0000,944.0000
'4311325000,"   오송읍",'40,"35 - 39세",202306,1954.0000,987.0000,967.0000
'4311325000,"   오송읍",'40,"35 - 39세",202307,2189.0000,1124.0000,1065.0000
'4311325000,"   오송읍",'40,"35 - 39세",202308,2528.0000,1347.0000,1181.0000
'4311325000,"   오송읍",'40,"35 - 39세",202309,2694.0000,1446.0000,1248.0000
'4311325000,"   오송읍",'40,"35 - 39세",202310,2793.0000,1511.0000,1282.0000
'4311325000,"   오송읍",'40,"35 - 39세",202311,2849.0000,1539.0000,1310.0000
'4311325000,"   오송읍",'40,"35 - 39세",202312,2870.0000,1557.0000,1313.0000
